run_id,n_customers,stage,duration_s,peak_rss_mb,rows,started_at
20260812032659703470,25000,train_self_cure:register,0.004,1280.42,,2026-08-12T03:27:45.949937
20260812032747005250,,train_roll_forward:load,2.8568,1088.98,36182,2026-08-12T03:27:47.005265
20260812032747005250,25000,train_roll_forward:feature,37.5754,1295.69,20568,2026-08-12T03:27:49.865301
20260812032747005250,25000,train_roll_forward:train,6.1595,1295.69,20568,2026-08-12T03:28:27.441758
20260812032747005250,25000,train_roll_forward:register,0.0048,1295.69,,2026-08-12T03:28:33.602681
20260812032834746713,,train_ptp_success:load,2.8855,1075.33,36182,2026-08-12T03:28:34.746728
20260812032834746713,25000,train_ptp_success:feature,38.7603,1302.92,31552,2026-08-12T03:28:37.634877
20260812032834746713,25000,train_ptp_success:train,6.153,1302.92,31552,2026-08-12T03:29:16.396504
20260812032834746713,25000,train_ptp_success:register,0.0086,1302.92,,2026-08-12T03:29:22.550956
20260812032923216800,,load_contract,0.2402,168.17,34763,2026-08-12T03:29:23.216814
20260812032923216800,24342,load_payment,0.8487,479.08,344397,2026-08-12T03:29:23.457206
20260812032923216800,24342,load_lkp,1.7274,955.47,755482,2026-08-12T03:29:24.306284
20260812032923216800,24342,load_cbs,0.0046,955.47,0,2026-08-12T03:29:26.034080
20260812032923216800,24342,feature_contract,13.7668,1105.16,34763,2026-08-12T03:29:26.038811
20260812032923216800,24342,cbs_bootstrap,23.5583,1118.81,24342,2026-08-12T03:29:39.806998
20260812032923216800,24342,enrich_and_fill,0.0551,1118.81,34763,2026-08-12T03:30:03.366195
20260812032923216800,24342,score_contracts,0.9645,1118.81,34763,2026-08-12T03:30:03.421483
20260812032923216800,24342,confidence_level,0.0115,1118.81,34763,2026-08-12T03:30:04.386224
20260812032923216800,24342,business_rules,0.0726,1118.81,34763,2026-08-12T03:30:04.397987
20260812032923216800,24342,restructuring_assessment,86.2115,1118.81,,2026-08-12T03:30:04.470787
20260812032923216800,24342,quality_check,0.0395,1118.81,,2026-08-12T03:31:30.683736
20260812032923216800,24342,persist_output,1.4887,1118.81,34763,2026-08-12T03:31:30.723575
20260812033224551012,,train_initial:load,10.1364,1722.33,72667,2026-08-12T03:32:24.551028
20260812033224551012,50000,train_initial:feature,79.4508,2052.3,72667,2026-08-12T03:32:34.694147
20260812033224551012,50000,train_initial:train,13.9421,2052.3,72667,2026-08-12T03:33:54.144400
20260812033224551012,50000,train_initial:register,0.0134,2052.3,,2026-08-12T03:34:08.087227
20260812033410804138,,train_self_cure:load,5.9961,1888.3,72667,2026-08-12T03:34:10.804163
20260812033410804138,50000,train_self_cure:feature,81.5323,2122.06,43353,2026-08-12T03:34:16.804659
20260812033410804138,50000,train_self_cure:train,9.2345,2122.06,43353,2026-08-12T03:35:38.335946
20260812033410804138,50000,train_self_cure:register,0.007,2122.06,,2026-08-12T03:35:47.573179
20260812033548976618,,train_roll_forward:load,6.1354,1829.61,72667,2026-08-12T03:35:48.976636
20260812033548976618,50000,train_roll_forward:feature,79.8748,2222.16,41636,2026-08-12T03:35:55.118274
20260812033548976618,50000,train_roll_forward:train,8.2902,2222.16,41636,2026-08-12T03:37:14.994560
20260812033548976618,50000,train_roll_forward:register,0.0065,2222.16,,2026-08-12T03:37:23.287051
20260812033724604029,,train_ptp_success:load,6.2685,1847.41,72667,2026-08-12T03:37:24.604046
20260812033724604029,50000,train_ptp_success:feature,81.4594,2149.48,63529,2026-08-12T03:37:30.878103
20260812033724604029,50000,train_ptp_success:train,9.5061,2149.48,63529,2026-08-12T03:38:52.339301
20260812033724604029,50000,train_ptp_success:register,0.0069,2149.48,,2026-08-12T03:39:01.848032
20260812033902710218,,load_contract,0.4581,258.94,69705,2026-08-12T03:39:02.710232
20260812033902710218,48649,load_payment,1.8042,886.08,695508,2026-08-12T03:39:03.168483
20260812033902710218,48649,load_lkp,3.6063,1710.2,1519475,2026-08-12T03:39:04.973032
20260812033902710218,48649,load_cbs,0.0088,1710.2,0,2026-08-12T03:39:08.579855
20260812033902710218,48649,feature_contract,28.6441,1972.17,69705,2026-08-12T03:39:08.588802
20260812033902710218,48649,cbs_bootstrap,47.0742,2030.7,48649,2026-08-12T03:39:37.234325
20260812033902710218,48649,enrich_and_fill,0.1189,2030.7,69705,2026-08-12T03:40:24.310623
20260812033902710218,48649,score_contracts,1.2625,2030.7,69705,2026-08-12T03:40:24.429854
20260812033902710218,48649,confidence_level,0.022,2030.7,69705,2026-08-12T03:40:25.692601
20260812033902710218,48649,business_rules,0.164,2030.7,69705,2026-08-12T03:40:25.714838
20260812033902710218,48649,restructuring_assessment,349.005,2030.7,,2026-08-12T03:40:25.879128
20260812033902710218,48649,quality_check,0.2086,2030.7,,2026-08-12T03:46:14.885452
20260812033902710218,48649,persist_output,2.9071,2030.7,69705,2026-08-12T03:46:15.094341
20260812034736990896,,train_initial:load,21.0062,2763.5,145425,2026-08-12T03:47:36.990911
20260812034736990896,100000,train_initial:feature,181.6783,3334.06,145425,2026-08-12T03:47:58.013081
20260812034736990896,100000,train_initial:train,23.2385,3334.06,145425,2026-08-12T04:06:25.475459
20260812034736990896,100000,train_initial:register,0.0107,3334.06,,2026-08-12T04:06:48.738270
20260812040650700849,,train_self_cure:load,18.6256,2780.73,145425,2026-08-12T04:06:50.700864
20260812040650700849,100000,train_self_cure:feature,183.2702,3388.78,87790,2026-08-12T04:22:08.420716
20260812040650700849,100000,train_self_cure:train,12.9088,3388.78,87790,2026-08-12T04:25:11.668729
20260812040650700849,100000,train_self_cure:register,0.006,3388.78,,2026-08-12T04:25:24.581072
20260812042526649546,,train_roll_forward:load,14.3702,2745.67,145425,2026-08-12T04:25:26.649561
20260812042526649546,100000,train_roll_forward:feature,158.1223,3358.78,82325,2026-08-12T04:25:41.033236
20260812042526649546,100000,train_roll_forward:train,27.0871,3358.78,82325,2026-08-12T04:43:17.889758
20260812042526649546,100000,train_roll_forward:register,0.0364,3358.78,,2026-08-12T04:43:45.027403
20260812044350970596,,train_ptp_success:load,14.6575,2900.11,145425,2026-08-12T04:43:50.970613
20260812044350970596,100000,train_ptp_success:feature,181.1489,3226.11,126777,2026-08-12T04:44:05.643152
20260812044350970596,100000,train_ptp_success:train,20.6018,3226.11,126777,2026-08-12T05:02:05.901744
20260812044350970596,100000,train_ptp_success:register,0.013,3226.11,,2026-08-12T05:02:26.511526
20260812050228244851,,load_contract,0.9903,416.38,139645,2026-08-12T05:02:28.244867
20260812050228244851,97125,load_payment,4.0129,1602.03,1402140,2026-08-12T05:02:29.235389
20260812050228244851,97125,load_lkp,10.2919,2823.23,3031975,2026-08-12T05:02:33.248520
20260812050228244851,97125,load_cbs,0.0073,2823.23,0,2026-08-12T05:02:43.541109
20260812050228244851,97125,feature_contract,96.2737,2914.44,139645,2026-08-12T05:02:43.548594
20260812050228244851,97125,cbs_bootstrap,183.9057,2983.12,97125,2026-08-12T05:04:19.824345
20260812050228244851,97125,enrich_and_fill,0.3499,2983.12,139645,2026-08-12T05:07:23.732285
20260812050228244851,97125,score_contracts,2.7033,2983.12,139645,2026-08-12T05:07:24.082521
20260812050228244851,97125,confidence_level,0.1075,2983.12,139645,2026-08-12T05:07:26.786164
20260812050228244851,97125,business_rules,0.7278,2983.12,139645,2026-08-12T05:07:26.894109
20260812093958842880,,train_initial:load,0.6149,272.28,4329,2026-08-12T09:39:58.842906
20260812093958842880,3000,train_initial:feature,7.8789,306.39,4329,2026-08-12T09:39:59.460679
20260812093958842880,3000,train_initial:train,5.6158,306.39,4329,2026-08-12T09:40:07.339936
20260812093958842880,3000,train_initial:register,0.0067,306.39,,2026-08-12T09:40:12.958616
20260812094014342421,,train_self_cure:load,0.5847,269.66,4329,2026-08-12T09:40:14.342443
20260812094014342421,3000,train_self_cure:feature,7.8004,320.81,2561,2026-08-12T09:40:14.928071
20260812094014342421,3000,train_self_cure:train,3.4642,329.84,2561,2026-08-12T09:40:22.728767
20260812094014342421,3000,train_self_cure:register,0.0059,330.05,,2026-08-12T09:40:26.194200
20260812094027525523,,train_roll_forward:load,0.5848,261.86,4329,2026-08-12T09:40:27.525546
20260812094027525523,3000,train_roll_forward:feature,7.8778,308.81,2487,2026-08-12T09:40:28.111885
20260812094027525523,3000,train_roll_forward:train,4.3269,317.39,2487,2026-08-12T09:40:35.990130
20260812094027525523,3000,train_roll_forward:register,0.007,317.39,,2026-08-12T09:40:40.318246
20260812094041660695,,train_ptp_success:load,0.5828,269.59,4329,2026-08-12T09:40:41.660717
20260812094041660695,3000,train_ptp_success:feature,7.8754,331.69,3791,2026-08-12T09:40:42.244616
20260812094041660695,3000,train_ptp_success:train,3.8401,340.56,3791,2026-08-12T09:40:50.121051
20260812094041660695,3000,train_ptp_success:register,0.0065,340.56,,2026-08-12T09:40:53.963358
20260812094054667685,,load_contract,0.0908,92.19,4167,2026-08-12T09:40:54.667709
20260812094054667685,2920,load_payment,0.1938,133.67,41145,2026-08-12T09:40:54.758655
20260812094054667685,2920,load_lkp,0.2923,209.3,90599,2026-08-12T09:40:54.952768
20260812094054667685,2920,load_cbs,0.0052,209.3,0,2026-08-12T09:40:55.245498
20260812094054667685,2920,feature_contract,2.7603,260.06,4167,2026-08-12T09:40:55.251006
20260812094054667685,2920,cbs_bootstrap,5.0359,260.7,2920,2026-08-12T09:40:58.011621
20260812094054667685,2920,enrich_and_fill,0.0102,260.77,4167,2026-08-12T09:41:03.047928
20260812094054667685,2920,score_contracts,0.9379,302.19,4167,2026-08-12T09:41:03.058365
20260812094054667685,2920,confidence_level,0.0062,302.47,4167,2026-08-12T09:41:03.996493
20260812094054667685,2920,business_rules,0.0236,302.84,4167,2026-08-12T09:41:04.002810
20260812094054667685,2920,restructuring_assessment,4.1291,330.52,,2026-08-12T09:41:04.026607
20260812094054667685,2920,quality_check,0.0065,330.52,,2026-08-12T09:41:08.156035
20260812094054667685,2920,persist_output,0.2144,330.52,4167,2026-08-12T09:41:08.162709
20260812100358001995,,train_initial:load,9.09,1850.19,72070,2026-08-12T10:03:58.002021
20260812100622501261,,train_initial:load,13.3991,1783.81,72070,2026-08-12T10:06:22.501291
20260812100622501261,50000,train_initial:feature,132.1754,2042.36,72070,2026-08-12T10:06:35.913590
20260812100622501261,50000,train_initial:train,20.2016,2042.36,72070,2026-08-12T10:08:48.105719
20260812100622501261,50000,train_initial:register,0.012,2042.36,,2026-08-12T10:09:08.318288
20260812100910403315,,train_self_cure:load,9.3234,1818.92,72070,2026-08-12T10:09:10.403336
20260812100910403315,50000,train_self_cure:feature,134.8566,2114.06,43730,2026-08-12T10:09:19.735325
20260812100910403315,50000,train_self_cure:train,12.0639,2114.06,43730,2026-08-12T10:16:31.317277
20260812100910403315,50000,train_self_cure:register,0.0086,2114.06,,2026-08-12T10:16:43.383015
20260812101645204063,,train_roll_forward:load,8.7429,1823.98,72070,2026-08-12T10:16:45.204086
20260812101645204063,50000,train_roll_forward:feature,133.0599,2111.66,40610,2026-08-12T10:16:53.954659
20260812101645204063,50000,train_roll_forward:train,12.2081,2111.66,40610,2026-08-12T10:21:08.017089
20260812101645204063,50000,train_roll_forward:register,0.0087,2111.66,,2026-08-12T10:21:20.227658
20260812102122085690,,train_ptp_success:load,8.7543,1824.33,72070,2026-08-12T10:21:22.085711
20260812102122085690,50000,train_ptp_success:feature,137.4504,2169.25,63180,2026-08-12T10:21:30.848116
20260812102122085690,50000,train_ptp_success:train,14.2963,2169.25,63180,2026-08-12T10:37:27.989074
20260812102122085690,50000,train_ptp_success:register,0.0078,2169.25,,2026-08-12T10:37:42.289320
20260812103743544342,,load_contract,0.7084,249.14,69190,2026-08-12T10:37:43.544371
20260812103743544342,48610,load_payment,2.7398,872.78,697730,2026-08-12T10:37:44.252960
20260812103743544342,48610,load_lkp,5.2674,1801.67,1495520,2026-08-12T10:37:46.993258
20260812103743544342,48610,load_cbs,0.0068,1801.67,0,2026-08-12T10:37:52.261056
20260812103743544342,48610,feature_contract,45.6421,1977.06,69190,2026-08-12T10:37:52.268079
20260812103743544342,48610,cbs_bootstrap,137.7147,2012.41,48610,2026-08-12T10:38:37.912429
20260812103743544342,48610,enrich_and_fill,0.1978,2012.41,69190,2026-08-12T10:55:11.990300
20260812103743544342,48610,score_contracts,2.0939,2012.41,69190,2026-08-12T10:55:12.188898
20260812103743544342,48610,confidence_level,0.0429,2012.41,69190,2026-08-12T10:55:14.283156
20260812103743544342,48610,business_rules,0.3472,2012.41,69190,2026-08-12T10:55:14.326470
20260812103743544342,48610,restructuring_assessment,66.5907,2012.41,,2026-08-12T10:55:14.673956
20260812103743544342,48610,quality_check,0.1469,2012.41,,2026-08-12T10:56:21.266416
20260812103743544342,48610,persist_output,4.4156,2012.41,69190,2026-08-12T10:56:21.413742
20260812111823707281,,train_initial:load,0.9523,343.05,7319,2026-08-12T11:18:23.707305
20260812111823707281,5000,train_initial:feature,1.3412,425.45,7319,2026-08-12T11:18:24.662530
20260812111823707281,5000,train_initial:train,6.6898,437.05,7319,2026-08-12T11:18:26.004010
20260812111823707281,5000,train_initial:register,0.0073,437.14,,2026-08-12T11:18:32.695654
20260812111834146775,,train_self_cure:load,0.9221,341.39,7319,2026-08-12T11:18:34.146799
20260812111834146775,5000,train_self_cure:feature,1.275,421.33,4418,2026-08-12T11:18:35.069959
20260812111834146775,5000,train_self_cure:train,3.8523,431.81,4418,2026-08-12T11:18:36.345443
20260812111834146775,5000,train_self_cure:register,0.0061,431.81,,2026-08-12T11:18:40.199039
20260812111841768524,,train_roll_forward:load,0.9349,353.11,7319,2026-08-12T11:18:41.768550
20260812111841768524,5000,train_roll_forward:feature,1.3175,456.36,4173,2026-08-12T11:18:42.705577
20260812111841768524,5000,train_roll_forward:train,4.8992,456.36,4173,2026-08-12T11:18:44.023387
20260812111841768524,5000,train_roll_forward:register,0.0062,456.36,,2026-08-12T11:18:48.923807
20260812111850114006,,train_ptp_success:load,0.9404,348.41,7319,2026-08-12T11:18:50.114046
20260812111850114006,5000,train_ptp_success:feature,1.3278,448.59,6374,2026-08-12T11:18:51.055391
20260812111850114006,5000,train_ptp_success:train,4.3647,458.56,6374,2026-08-12T11:18:52.383532
20260812111850114006,5000,train_ptp_success:register,0.0063,458.7,,2026-08-12T11:18:56.749535
20260812111857388475,,load_contract,0.1161,99.08,7039,2026-08-12T11:18:57.388500
